step,n_found,recall
1,1,0.007462686567164179
2,1,0.007462686567164179
3,2,0.014925373134328358
4,3,0.022388059701492536
5,4,0.029850746268656716
6,4,0.029850746268656716
7,5,0.03731343283582089
8,6,0.04477611940298507
9,6,0.04477611940298507
10,7,0.05223880597014925
11,8,0.05970149253731343
12,9,0.06716417910447761
13,10,0.07462686567164178
14,11,0.08208955223880597
15,11,0.08208955223880597
16,12,0.08955223880597014
17,12,0.08955223880597014
18,13,0.09701492537313433
19,13,0.09701492537313433
20,13,0.09701492537313433
21,13,0.09701492537313433
22,14,0.1044776119402985
23,15,0.11194029850746269
24,16,0.11940298507462686
25,16,0.11940298507462686
26,16,0.11940298507462686
27,17,0.12686567164179105
28,18,0.13432835820895522
29,18,0.13432835820895522
30,18,0.13432835820895522
31,18,0.13432835820895522
32,18,0.13432835820895522
33,19,0.1417910447761194
34,20,0.14925373134328357
35,21,0.15671641791044777
36,22,0.16417910447761194
37,22,0.16417910447761194
38,23,0.17164179104477612
39,23,0.17164179104477612
40,23,0.17164179104477612
41,23,0.17164179104477612
42,24,0.1791044776119403
43,25,0.1865671641791045
44,26,0.19402985074626866
45,26,0.19402985074626866
46,26,0.19402985074626866
47,27,0.20149253731343283
48,28,0.208955223880597
49,29,0.21641791044776118
50,29,0.21641791044776118
51,30,0.22388059701492538
52,30,0.22388059701492538
53,31,0.23134328358208955
54,32,0.23880597014925373
55,32,0.23880597014925373
56,32,0.23880597014925373
57,33,0.2462686567164179
58,33,0.2462686567164179
59,33,0.2462686567164179
60,34,0.2537313432835821
61,35,0.26119402985074625
62,35,0.26119402985074625
63,36,0.26865671641791045
64,36,0.26865671641791045
65,37,0.27611940298507465
66,37,0.27611940298507465
67,37,0.27611940298507465
68,38,0.2835820895522388
69,38,0.2835820895522388
70,38,0.2835820895522388
71,38,0.2835820895522388
72,38,0.2835820895522388
73,38,0.2835820895522388
74,39,0.291044776119403
75,40,0.29850746268656714
76,40,0.29850746268656714
