step,n_found,recall
1,1,0.007462686567164179
2,1,0.007462686567164179
3,1,0.007462686567164179
4,1,0.007462686567164179
5,1,0.007462686567164179
6,2,0.014925373134328358
7,2,0.014925373134328358
8,2,0.014925373134328358
9,2,0.014925373134328358
10,2,0.014925373134328358
11,2,0.014925373134328358
12,2,0.014925373134328358
13,2,0.014925373134328358
14,3,0.022388059701492536
15,4,0.029850746268656716
16,5,0.03731343283582089
17,6,0.04477611940298507
18,7,0.05223880597014925
19,8,0.05970149253731343
20,9,0.06716417910447761
21,10,0.07462686567164178
22,11,0.08208955223880597
23,11,0.08208955223880597
24,12,0.08955223880597014
25,12,0.08955223880597014
26,13,0.09701492537313433
27,14,0.1044776119402985
28,15,0.11194029850746269
29,16,0.11940298507462686
30,17,0.12686567164179105
31,18,0.13432835820895522
32,19,0.1417910447761194
33,19,0.1417910447761194
34,20,0.14925373134328357
35,21,0.15671641791044777
36,22,0.16417910447761194
37,23,0.17164179104477612
38,23,0.17164179104477612
39,24,0.1791044776119403
40,25,0.1865671641791045
41,26,0.19402985074626866
42,26,0.19402985074626866
43,26,0.19402985074626866
44,26,0.19402985074626866
45,26,0.19402985074626866
46,26,0.19402985074626866
47,27,0.20149253731343283
48,28,0.208955223880597
49,29,0.21641791044776118
50,30,0.22388059701492538
51,31,0.23134328358208955
52,32,0.23880597014925373
53,33,0.2462686567164179
54,33,0.2462686567164179
55,33,0.2462686567164179
56,34,0.2537313432835821
57,35,0.26119402985074625
58,36,0.26865671641791045
59,37,0.27611940298507465
60,37,0.27611940298507465
61,38,0.2835820895522388
62,39,0.291044776119403
63,39,0.291044776119403
64,39,0.291044776119403
65,39,0.291044776119403
66,39,0.291044776119403
67,40,0.29850746268656714
68,40,0.29850746268656714
69,40,0.29850746268656714
70,41,0.30597014925373134
71,41,0.30597014925373134
72,41,0.30597014925373134
73,42,0.31343283582089554
74,42,0.31343283582089554
75,43,0.3208955223880597
76,43,0.3208955223880597
77,44,0.3283582089552239
