condition,n_seeds,wss_80_mean,wss_80_std,wss_90_mean,wss_90_std,wss_95_mean,wss_95_std,loss_mean,loss_std,atd_mean,atd_std,steps_to_95_mean,steps_to_95_std
baseline,10,0.76667,0.0014537690478354875,0.84659,0.004293004645803328,0.8593,0.002390722810272151,0.021075574926695522,0.0010194404165463232,286.51374045801526,10.666405078324193,960.9,25.33092093777002
full,10,0.76503,0.0011981930840505891,0.8424400000000001,0.0030988169785688773,0.8604799999999999,0.0019452506265260597,0.02079324299842658,0.001012138916172453,285.05970149253733,10.590009479912377,948.6,20.673117272868595
period,10,0.76247,0.0020896836549530308,0.83626,0.002175724655782022,0.83589,0.0027098380435409976,0.027088774801325495,0.0010621483491587758,350.9298507462687,11.11325817724827,1209.2,28.720105230385986
raw,10,0.76184,0.00226480315553766,0.83642,0.0022444004396126255,0.83618,0.0030147047026938406,0.03179113036556679,0.0010180292799061381,400.1305970149254,10.651640355657923,1206.2,32.00624938976762
