condition,sentinel_id,n_seeds,step_mean,step_std,step_min,step_max,percent_screened_mean
full,kardiner_1947,10,338.3,45.97112620378627,250,411,3.1924129470604887
full,solomon_1988,10,244.9,44.252934617064916,182,347,2.311031423987921
full,war_neuroses_tunisian_1944,10,339.3,45.97112620378627,251,412,3.201849580069831
period,kardiner_1947,10,3154.2,4.638007234913751,3150,3162,29.76502783806738
period,solomon_1988,10,3242.5,15.91121197981684,3207,3256,30.598282532792304
period,war_neuroses_tunisian_1944,10,3244.5,15.91121197981684,3209,3258,30.617155798810984
raw,kardiner_1947,10,5522.9,2.9981475762357093,5520,5529,52.117580447296405
raw,solomon_1988,10,5031.5,2.8771127502720337,5026,5035,47.48041898650562
raw,war_neuroses_tunisian_1944,10,5525.9,2.9981475762357093,5523,5532,52.14589034632443
