step,n_found,recall
1,1,0.007462686567164179
2,1,0.007462686567164179
3,1,0.007462686567164179
4,1,0.007462686567164179
5,1,0.007462686567164179
6,1,0.007462686567164179
7,1,0.007462686567164179
8,1,0.007462686567164179
9,1,0.007462686567164179
10,2,0.014925373134328358
11,3,0.022388059701492536
12,3,0.022388059701492536
13,3,0.022388059701492536
14,4,0.029850746268656716
15,4,0.029850746268656716
16,5,0.03731343283582089
17,5,0.03731343283582089
18,5,0.03731343283582089
19,5,0.03731343283582089
20,5,0.03731343283582089
21,6,0.04477611940298507
22,7,0.05223880597014925
23,8,0.05970149253731343
24,9,0.06716417910447761
25,9,0.06716417910447761
26,10,0.07462686567164178
27,11,0.08208955223880597
28,11,0.08208955223880597
29,12,0.08955223880597014
30,12,0.08955223880597014
31,12,0.08955223880597014
32,12,0.08955223880597014
33,12,0.08955223880597014
34,13,0.09701492537313433
35,14,0.1044776119402985
36,14,0.1044776119402985
37,15,0.11194029850746269
38,16,0.11940298507462686
39,16,0.11940298507462686
40,17,0.12686567164179105
41,18,0.13432835820895522
42,19,0.1417910447761194
43,20,0.14925373134328357
44,21,0.15671641791044777
45,21,0.15671641791044777
46,21,0.15671641791044777
47,22,0.16417910447761194
48,22,0.16417910447761194
49,22,0.16417910447761194
50,22,0.16417910447761194
51,23,0.17164179104477612
52,24,0.1791044776119403
53,25,0.1865671641791045
54,25,0.1865671641791045
55,25,0.1865671641791045
56,25,0.1865671641791045
57,26,0.19402985074626866
58,27,0.20149253731343283
59,28,0.208955223880597
60,29,0.21641791044776118
61,30,0.22388059701492538
62,31,0.23134328358208955
63,31,0.23134328358208955
64,32,0.23880597014925373
65,33,0.2462686567164179
66,34,0.2537313432835821
67,34,0.2537313432835821
68,34,0.2537313432835821
69,34,0.2537313432835821
70,35,0.26119402985074625
71,35,0.26119402985074625
72,36,0.26865671641791045
73,37,0.27611940298507465
74,38,0.2835820895522388
75,38,0.2835820895522388
76,39,0.291044776119403
