condition,model,n,wss95_mean,wss95_sd,loss_mean,loss_sd,atd_mean
baseline,h3,10,0.83722,0.001483838865166198,0.02201804541339055,0.0005239463343927598,296.37480916030535
baseline,u4,10,0.8593,0.002390722810272151,0.021075574926695522,0.0010194404165463234,286.51374045801526
raw,h3,10,0.76479,0.0004724639903974137,0.0304710557886283,0.0005409346629289031,386.3186567164179
raw,u4,10,0.83618,0.0030147047026938493,0.03179113036556679,0.0010180292799061388,400.1305970149254
period,h3,10,0.76484,0.00032386554137309105,0.029421015918210724,0.000517281465120888,375.3320895522388
period,u4,10,0.83589,0.002709838043540991,0.027088774801325495,0.0010621483491587758,350.9298507462687
full,h3,10,0.84235,0.0017519830034690659,0.02182202815607521,0.0005096196105967051,295.8238805970149
full,u4,10,0.8604799999999999,0.0019452506265260688,0.02079324299842658,0.001012138916172453,285.05970149253733
