pp,nn,n_trials,wss_95_mean,wss_95_std,loss_mean,loss_std,drift_median_step_mean,atd_mean
0,0,5,0.8599,0.0018907670401189505,0.020294268498299718,0.00029621528884252266,,278.33893129770996
0,5,5,0.86222,0.0033124009419150512,0.020349278774423576,0.001487675655078303,,278.91450381679385
0,10,5,0.8608800000000001,0.004433621544516398,0.019849079234496258,0.0011613546823069315,,273.6809160305344
0,20,5,0.8647,0.004507216435894786,0.018737492275579595,0.0010352923260092113,,262.05038167938926
0,50,5,0.8812599999999999,0.0023351659469939227,0.014382341847280091,0.000992540147755176,,216.4824427480916
0,100,5,0.93598,0.0004494441010848733,0.001517087111033938,0.00011658051056940881,,81.87328244274809
5,0,5,0.8565799999999999,0.0035807820374884336,0.021997690152066204,0.00088479819002113,278.4,296.1618320610687
5,5,5,0.8549,0.012053422750405796,0.021757804491727668,0.0009923385103589222,396.0,293.65190839694657
5,10,5,0.8516999999999999,0.016207868459485977,0.021422052116764782,0.0006316274023395225,428.8,290.1389312977099
5,20,5,0.85816,0.006825906533201247,0.020851375220424136,0.001464507655209863,507.4,284.1679389312977
5,50,5,0.8708,0.0067368390213808525,0.01645799483895632,0.0005358873636920186,322.0,238.2
5,100,5,0.92692,0.0031956220051814507,0.0032695364910010046,0.0013828484997684902,392.6,100.2091603053435
10,0,5,0.85738,0.004953988292275217,0.0231205126315705,0.0020206217126434193,157.2,307.9099236641222
10,5,5,0.85152,0.01073578129434461,0.021950267500235286,0.0007923778925245116,219.0,295.66564885496183
10,10,5,0.85856,0.0036066605052319607,0.02196383767445152,0.002001362269701022,284.0,295.80763358778626
10,20,5,0.85788,0.0024772969139770264,0.02190649274469906,0.001787445167676649,316.4,295.2076335877863
10,50,5,0.87158,0.009457642412356297,0.016907415662461615,0.0009969170526494865,423.4,242.90229007633587
10,100,5,0.9153399999999999,0.003835752859609191,0.005185703456673571,0.0012674895236361814,292.0,120.25801526717558
20,0,5,0.85806,0.0047104139945444105,0.022078527533956442,0.0008822737152742588,128.3,297.00763358778624
20,5,5,0.85958,0.010852511230125476,0.023594739149879657,0.0015506686171282353,202.5,312.87175572519084
20,10,5,0.8606999999999999,0.0055131660595342455,0.023332090616662277,0.001387247085600633,278.7,310.1236641221374
20,20,5,0.8551399999999999,0.011489255850576256,0.023374260297828846,0.0018094994569752124,316.4,310.5648854961832
20,50,5,0.85814,0.012076547519883312,0.01945393910785589,0.0015565426529889983,255.9,269.5465648854962
20,100,5,0.9042199999999999,0.011446702581966573,0.00798612048417798,0.003037793098358234,281.0,149.5587786259542
50,0,5,0.87468,0.012795585176145681,0.017075948471276102,0.0034261239852436966,86.7,244.66564885496183
50,5,5,0.86484,0.013562927412620048,0.018687151306712932,0.003130668321841706,119.2,261.52366412213735
50,10,5,0.86646,0.01133569583219311,0.020458423831560577,0.0013486422680419974,141.4,280.05648854961834
50,20,5,0.8614200000000001,0.014548436342095315,0.022969051977415146,0.0010956500821654312,180.8,306.32519083969464
50,50,5,0.8481,0.009124417789645515,0.023770421835431727,0.0006329910546200684,195.1,314.70992366412213
50,100,5,0.87302,0.013651996191033768,0.014430931825925308,0.001416905790258746,216.3,216.9908396946565
100,0,5,0.92872,0.0024783058729704634,0.003415452342788437,0.00023595015095814406,80.4,101.73587786259542
100,5,5,0.9109,0.0019377822375076675,0.007969048329518849,0.0006350322998485905,104.0,149.38015267175572
100,10,5,0.9036199999999999,0.0022264321233758737,0.008969593325225275,0.000730904321303419,102.2,159.84885496183205
100,20,5,0.8960000000000001,0.002881839690197886,0.01156616590778264,0.0008570130331056788,118.8,187.01679389312977
100,50,5,0.8836600000000001,0.003554293178678427,0.016737423695129254,0.002170591691735621,144.8,241.12366412213743
100,100,5,0.8633,0.006325741063306334,0.023033400868053402,0.0006889682368518946,167.6,306.9984732824428
