step,n_found,recall
1,1,0.007633587786259542
2,1,0.007633587786259542
3,2,0.015267175572519083
4,3,0.022900763358778626
5,4,0.030534351145038167
6,4,0.030534351145038167
7,5,0.03816793893129771
8,6,0.04580152671755725
9,6,0.04580152671755725
10,7,0.05343511450381679
11,8,0.061068702290076333
12,9,0.06870229007633588
13,10,0.07633587786259542
14,11,0.08396946564885496
15,11,0.08396946564885496
16,12,0.0916030534351145
17,12,0.0916030534351145
18,13,0.09923664122137404
19,13,0.09923664122137404
20,13,0.09923664122137404
21,13,0.09923664122137404
22,14,0.10687022900763359
23,15,0.11450381679389313
24,16,0.12213740458015267
25,16,0.12213740458015267
26,16,0.12213740458015267
27,17,0.1297709923664122
28,18,0.13740458015267176
29,18,0.13740458015267176
30,18,0.13740458015267176
31,18,0.13740458015267176
32,18,0.13740458015267176
33,19,0.1450381679389313
34,20,0.15267175572519084
35,21,0.16030534351145037
36,22,0.16793893129770993
37,22,0.16793893129770993
38,23,0.17557251908396945
39,23,0.17557251908396945
40,23,0.17557251908396945
41,23,0.17557251908396945
42,24,0.183206106870229
43,25,0.19083969465648856
44,26,0.1984732824427481
45,26,0.1984732824427481
46,26,0.1984732824427481
47,27,0.20610687022900764
48,28,0.21374045801526717
49,29,0.22137404580152673
50,29,0.22137404580152673
51,30,0.22900763358778625
52,30,0.22900763358778625
53,31,0.2366412213740458
54,32,0.24427480916030533
55,32,0.24427480916030533
56,32,0.24427480916030533
57,33,0.25190839694656486
58,33,0.25190839694656486
59,33,0.25190839694656486
60,34,0.2595419847328244
61,35,0.26717557251908397
62,35,0.26717557251908397
63,36,0.2748091603053435
64,36,0.2748091603053435
65,37,0.2824427480916031
66,37,0.2824427480916031
67,37,0.2824427480916031
68,38,0.2900763358778626
69,38,0.2900763358778626
70,38,0.2900763358778626
71,38,0.2900763358778626
72,38,0.2900763358778626
73,38,0.2900763358778626
74,39,0.29770992366412213
75,40,0.3053435114503817
76,40,0.3053435114503817
77,40,0.3053435114503817
78,41,0.31297709923664124
79,42,0.32061068702290074
80,42,0.32061068702290074
81,42,0.32061068702290074
82,43,0.3282442748091603
83,44,0.33587786259541985
84,45,0.3435114503816794
85,46,0.3511450381679389
86,46,0.3511450381679389
87,46,0.3511450381679389
88,47,0.35877862595419846
89,47,0.35877862595419846
90,47,0.35877862595419846
91,48,0.366412213740458
92,49,0.37404580152671757
93,50,0.3816793893129771
94,50,0.3816793893129771
95,50,0.3816793893129771
96,50,0.3816793893129771
97,50,0.3816793893129771
98,50,0.3816793893129771
99,50,0.3816793893129771
100,51,0.3893129770992366
101,52,0.3969465648854962
102,53,0.40458015267175573
103,54,0.4122137404580153
104,54,0.4122137404580153
105,55,0.4198473282442748
106,56,0.42748091603053434
107,56,0.42748091603053434
108,56,0.42748091603053434
109,57,0.4351145038167939
110,57,0.4351145038167939
111,58,0.44274809160305345
112,59,0.45038167938931295
113,60,0.4580152671755725
114,61,0.46564885496183206
115,62,0.4732824427480916
116,62,0.4732824427480916
117,63,0.48091603053435117
118,63,0.48091603053435117
119,63,0.48091603053435117
120,64,0.48854961832061067
121,64,0.48854961832061067
122,65,0.4961832061068702
123,65,0.4961832061068702
124,65,0.4961832061068702
125,65,0.4961832061068702
126,65,0.4961832061068702
127,66,0.5038167938931297
128,66,0.5038167938931297
129,66,0.5038167938931297
130,66,0.5038167938931297
131,66,0.5038167938931297
132,66,0.5038167938931297
133,66,0.5038167938931297
134,67,0.5114503816793893
135,67,0.5114503816793893
136,67,0.5114503816793893
137,68,0.5190839694656488
138,69,0.5267175572519084
139,70,0.5343511450381679
140,71,0.5419847328244275
141,72,0.549618320610687
142,73,0.5572519083969466
143,73,0.5572519083969466
144,73,0.5572519083969466
145,74,0.5648854961832062
146,75,0.5725190839694656
147,76,0.5801526717557252
148,77,0.5877862595419847
149,77,0.5877862595419847
150,77,0.5877862595419847
151,77,0.5877862595419847
152,77,0.5877862595419847
153,77,0.5877862595419847
154,77,0.5877862595419847
155,77,0.5877862595419847
156,78,0.5954198473282443
157,78,0.5954198473282443
158,78,0.5954198473282443
159,78,0.5954198473282443
160,78,0.5954198473282443
161,79,0.6030534351145038
162,80,0.6106870229007634
163,81,0.6183206106870229
164,82,0.6259541984732825
165,82,0.6259541984732825
166,82,0.6259541984732825
167,82,0.6259541984732825
168,82,0.6259541984732825
169,82,0.6259541984732825
170,82,0.6259541984732825
171,82,0.6259541984732825
172,82,0.6259541984732825
173,82,0.6259541984732825
174,83,0.6335877862595419
175,83,0.6335877862595419
176,84,0.6412213740458015
177,85,0.648854961832061
178,85,0.648854961832061
179,85,0.648854961832061
180,85,0.648854961832061
181,85,0.648854961832061
182,86,0.6564885496183206
183,86,0.6564885496183206
184,86,0.6564885496183206
185,87,0.6641221374045801
186,87,0.6641221374045801
187,87,0.6641221374045801
188,88,0.6717557251908397
189,88,0.6717557251908397
190,89,0.6793893129770993
191,89,0.6793893129770993
192,89,0.6793893129770993
193,89,0.6793893129770993
194,89,0.6793893129770993
195,90,0.6870229007633588
196,90,0.6870229007633588
197,90,0.6870229007633588
198,90,0.6870229007633588
199,90,0.6870229007633588
200,91,0.6946564885496184
201,91,0.6946564885496184
202,91,0.6946564885496184
203,91,0.6946564885496184
204,91,0.6946564885496184
205,92,0.7022900763358778
206,92,0.7022900763358778
207,92,0.7022900763358778
208,92,0.7022900763358778
209,92,0.7022900763358778
210,92,0.7022900763358778
211,92,0.7022900763358778
212,92,0.7022900763358778
213,92,0.7022900763358778
214,92,0.7022900763358778
215,92,0.7022900763358778
216,92,0.7022900763358778
217,92,0.7022900763358778
218,93,0.7099236641221374
219,94,0.7175572519083969
220,94,0.7175572519083969
221,94,0.7175572519083969
222,94,0.7175572519083969
223,94,0.7175572519083969
224,94,0.7175572519083969
225,94,0.7175572519083969
226,94,0.7175572519083969
227,94,0.7175572519083969
228,94,0.7175572519083969
229,95,0.7251908396946565
230,95,0.7251908396946565
231,96,0.732824427480916
232,96,0.732824427480916
233,97,0.7404580152671756
234,97,0.7404580152671756
235,97,0.7404580152671756
236,97,0.7404580152671756
237,97,0.7404580152671756
238,97,0.7404580152671756
239,97,0.7404580152671756
240,97,0.7404580152671756
241,97,0.7404580152671756
242,98,0.7480916030534351
243,98,0.7480916030534351
244,98,0.7480916030534351
245,98,0.7480916030534351
246,98,0.7480916030534351
247,98,0.7480916030534351
248,98,0.7480916030534351
249,98,0.7480916030534351
250,98,0.7480916030534351
251,98,0.7480916030534351
252,98,0.7480916030534351
253,98,0.7480916030534351
254,98,0.7480916030534351
255,98,0.7480916030534351
256,99,0.7557251908396947
257,99,0.7557251908396947
258,99,0.7557251908396947
259,99,0.7557251908396947
260,99,0.7557251908396947
261,99,0.7557251908396947
262,99,0.7557251908396947
263,99,0.7557251908396947
264,99,0.7557251908396947
265,99,0.7557251908396947
266,99,0.7557251908396947
267,99,0.7557251908396947
268,99,0.7557251908396947
269,99,0.7557251908396947
270,99,0.7557251908396947
271,99,0.7557251908396947
