step,n_found,recall
1,1,0.007462686567164179
2,1,0.007462686567164179
3,1,0.007462686567164179
4,1,0.007462686567164179
5,1,0.007462686567164179
6,1,0.007462686567164179
7,1,0.007462686567164179
8,2,0.014925373134328358
9,3,0.022388059701492536
10,3,0.022388059701492536
11,4,0.029850746268656716
12,5,0.03731343283582089
13,5,0.03731343283582089
14,5,0.03731343283582089
15,6,0.04477611940298507
16,6,0.04477611940298507
17,7,0.05223880597014925
18,7,0.05223880597014925
19,8,0.05970149253731343
20,9,0.06716417910447761
21,10,0.07462686567164178
22,10,0.07462686567164178
23,10,0.07462686567164178
24,10,0.07462686567164178
25,10,0.07462686567164178
26,10,0.07462686567164178
27,10,0.07462686567164178
28,10,0.07462686567164178
29,10,0.07462686567164178
30,10,0.07462686567164178
31,10,0.07462686567164178
32,10,0.07462686567164178
33,10,0.07462686567164178
34,10,0.07462686567164178
35,11,0.08208955223880597
36,12,0.08955223880597014
37,13,0.09701492537313433
38,14,0.1044776119402985
39,15,0.11194029850746269
40,16,0.11940298507462686
41,17,0.12686567164179105
42,18,0.13432835820895522
43,19,0.1417910447761194
44,19,0.1417910447761194
45,19,0.1417910447761194
46,20,0.14925373134328357
47,20,0.14925373134328357
48,20,0.14925373134328357
49,21,0.15671641791044777
50,21,0.15671641791044777
51,21,0.15671641791044777
52,21,0.15671641791044777
53,22,0.16417910447761194
54,22,0.16417910447761194
55,22,0.16417910447761194
56,22,0.16417910447761194
57,22,0.16417910447761194
58,23,0.17164179104477612
59,24,0.1791044776119403
60,24,0.1791044776119403
61,24,0.1791044776119403
62,24,0.1791044776119403
63,25,0.1865671641791045
64,26,0.19402985074626866
65,26,0.19402985074626866
66,26,0.19402985074626866
67,27,0.20149253731343283
68,27,0.20149253731343283
69,28,0.208955223880597
70,29,0.21641791044776118
71,29,0.21641791044776118
72,30,0.22388059701492538
73,31,0.23134328358208955
74,31,0.23134328358208955
75,32,0.23880597014925373
76,32,0.23880597014925373
